title_author,pages,genres,funny,lighthearted,adventurous,mysterious,emotional,tense,hopeful,dark,relaxing,challenging,inspiring,reflective,sad,informative,medium_pace,fast_pace,slow_pace,avg_rating,reviews,series
Circe by Madeline Miller,393,"['historical', 'literary', 'fiction', 'fantasy']",2%,2%,72%,23%,61%,14%,19%,26%,6%,15%,25%,52%,23%,9%,59%,8%,32%,4.26,159643,0
First Lie Wins by Ashley Elston,340,"['thriller', 'fiction']",2%,1%,46%,93%,8%,65%,2%,26%,0%,10%,0%,2%,1%,0%,36%,59%,3%,4.1,7529,0
Butcher & Blackbird by Brynne Weaver,368,"['romance', 'fiction']",79%,16%,45%,24%,27%,35%,5%,95%,1%,9%,1%,1%,2%,0%,51%,44%,3%,4.21,18296,1
Listen for the Lie by Amy Tintera,352,"['mystery', 'fiction']",41%,2%,11%,91%,23%,67%,3%,74%,0%,13%,0%,10%,11%,0%,31%,67%,1%,4.32,1733,0
One Dark Window by Rachel Gillig,421,"['romance', 'fiction', 'fantasy']",5%,0%,75%,81%,32%,52%,5%,87%,0%,12%,1%,2%,8%,0%,68%,24%,6%,4.34,20383,1
Happy Place by Emily Henry,388,"['romance', 'contemporary', 'fiction']",55%,46%,7%,0%,84%,5%,55%,0%,14%,4%,19%,42%,20%,0%,66%,24%,9%,4.16,71787,0
Ruthless Vows by Rebecca Ross,420,"['young adult', 'romance', 'fiction', 'fantasy']",3%,3%,76%,21%,84%,50%,42%,23%,1%,16%,22%,9%,31%,0%,70%,19%,10%,4.26,19857,1
The Seven Husbands of Evelyn Hugo by Taylor Jenkins Reid,389,"['historical', 'literary', 'lgbtqia+', 'fiction']",14%,8%,13%,22%,89%,13%,18%,10%,4%,13%,36%,58%,47%,3%,62%,32%,4%,4.48,295152,0
House of Flame and Shadow by Sarah J. Maas,835,"['romance', 'fiction', 'fantasy']",34%,4%,96%,27%,75%,61%,36%,31%,0%,26%,21%,5%,15%,3%,57%,32%,9%,4.19,26784,1
Yellowface by R.F. Kuang,323,"['thriller', 'literary', 'contemporary', 'fiction']",27%,2%,4%,28%,25%,62%,0%,68%,0%,36%,1%,39%,7%,13%,42%,53%,4%,4.09,58190,0
The Seven Year Slip by Ashley Poston,336,"['romance', 'fiction', 'speculative fiction']",45%,46%,16%,11%,82%,1%,65%,1%,9%,4%,31%,41%,25%,0%,66%,29%,3%,4.37,16930,0
None of This Is True by Lisa Jewell,370,"['mystery', 'thriller', 'fiction']",0%,0%,7%,89%,26%,76%,0%,90%,0%,16%,0%,5%,20%,0%,40%,54%,5%,4.12,23640,0
The Cruel Prince by Holly Black,370,"['young adult', 'fiction', 'fantasy']",12%,4%,89%,49%,22%,52%,3%,54%,2%,18%,5%,3%,4%,0%,61%,26%,11%,3.98,147362,1
The Invisible Life of Addie LaRue by V.E. Schwab,444,"['historical', 'literary', 'fiction', 'fantasy']",4%,3%,55%,53%,75%,15%,28%,40%,3%,11%,22%,47%,40%,0%,56%,6%,37%,4.24,160060,0
Crown of Midnight by Sarah J. Maas,420,"['fiction', 'fantasy']",8%,1%,95%,65%,57%,50%,8%,53%,0%,21%,7%,3%,20%,2%,66%,26%,6%,4.23,120165,1
Powerless by Lauren Roberts,502,"['young adult', 'romance', 'fiction', 'fantasy']",29%,5%,90%,24%,61%,62%,9%,34%,1%,28%,6%,3%,19%,0%,60%,31%,7%,4.21,13906,1
The Silent Patient by Alex Michaelides,325,"['mystery', 'thriller', 'fiction']",0%,0%,7%,91%,26%,67%,0%,81%,0%,14%,0%,10%,14%,1%,45%,45%,9%,3.99,154718,0
"Tomorrow, and Tomorrow, and Tomorrow by Gabrielle Zevin",416,"['literary', 'contemporary', 'fiction']",19%,5%,17%,1%,90%,9%,36%,13%,3%,16%,33%,64%,53%,8%,70%,11%,18%,4.28,91791,0
Remarkably Bright Creatures by Shelby Van Pelt,360,"['mystery', 'literary', 'contemporary', 'fiction']",34%,34%,15%,20%,80%,0%,69%,0%,11%,2%,37%,43%,23%,5%,70%,13%,15%,4.35,36026,0
I'm Glad My Mom Died by Jennette McCurdy,304,"['memoir', 'nonfiction']",38%,1%,0%,0%,89%,17%,23%,51%,0%,36%,29%,64%,66%,16%,45%,50%,3%,4.54,126271,0
Two Twisted Crowns by Rachel Gillig,464,"['romance', 'fiction', 'fantasy']",11%,1%,88%,68%,63%,55%,22%,83%,0%,19%,7%,8%,16%,0%,70%,25%,4%,4.5,12214,1
A Court of Wings and Ruin by Sarah J. Maas,705,"['romance', 'fiction', 'fantasy']",19%,3%,95%,23%,76%,59%,25%,49%,1%,24%,14%,5%,22%,0%,64%,25%,10%,4.35,170732,1
Babel: An Arcane History by R.F. Kuang,544,"['historical', 'literary', 'fiction', 'fantasy']",3%,0%,42%,26%,65%,50%,12%,74%,0%,58%,21%,50%,43%,43%,59%,5%,34%,4.39,53182,0
Throne of Glass by Sarah J. Maas,406,"['fiction', 'fantasy']",16%,4%,95%,60%,29%,43%,12%,40%,1%,20%,9%,2%,6%,0%,64%,26%,9%,4.02,153833,1
Heir of Fire by Sarah J. Maas,565,"['fiction', 'fantasy']",9%,1%,97%,39%,69%,53%,25%,54%,0%,27%,19%,8%,22%,1%,69%,16%,13%,4.36,106931,1
A Good Girl's Guide to Murder by Holly Jackson,433,"['mystery', 'thriller', 'young adult', 'fiction']",18%,4%,62%,94%,37%,60%,10%,46%,1%,17%,6%,6%,17%,5%,40%,56%,2%,4.31,111083,1
House of Earth and Blood by Sarah J. Maas,800,"['romance', 'fiction', 'fantasy']",34%,3%,91%,60%,79%,53%,21%,47%,0%,25%,18%,6%,28%,1%,64%,17%,18%,4.47,88226,1
A Court of Mist and Fury by Sarah J. Maas,624,"['romance', 'fiction', 'fantasy']",22%,5%,94%,34%,74%,51%,21%,53%,2%,20%,12%,6%,16%,0%,63%,28%,7%,4.56,204587,1
Yours Truly by Abby Jimenez,398,"['romance', 'contemporary', 'fiction']",71%,49%,2%,0%,85%,4%,60%,1%,8%,6%,25%,20%,13%,4%,61%,33%,5%,4.35,23770,1
The Hunger Games by Suzanne Collins,374,"['young adult', 'fiction', 'dystopian']",6%,0%,88%,10%,60%,72%,12%,62%,0%,30%,13%,13%,30%,1%,36%,62%,1%,4.32,329192,1
The Housemaid by Freida McFadden,332,"['thriller', 'fiction']",1%,0%,9%,86%,18%,79%,2%,81%,0%,12%,0%,1%,8%,0%,26%,71%,1%,4.16,48971,1
A Court of Frost and Starlight by Sarah J. Maas,229,"['romance', 'fiction', 'fantasy']",28%,68%,18%,3%,48%,4%,51%,4%,28%,2%,12%,25%,7%,2%,40%,30%,29%,3.64,132061,1
Piranesi by Susanna Clarke,245,"['literary', 'fiction', 'fantasy']",4%,3%,53%,91%,26%,16%,19%,27%,7%,20%,13%,54%,13%,1%,58%,19%,22%,4.31,62523,0
House of Sky and Breath by Sarah J. Maas,805,"['romance', 'fiction', 'fantasy']",34%,4%,95%,57%,67%,62%,15%,40%,1%,26%,9%,3%,15%,2%,66%,17%,16%,4.44,57550,1
The Secret History by Donna Tartt,559,"['mystery', 'thriller', 'literary', 'fiction']",8%,0%,13%,80%,33%,65%,0%,95%,0%,30%,2%,37%,23%,2%,37%,3%,58%,4.22,104874,0
Emily Wilde's Encyclopaedia of Faeries by Heather Fawcett,336,"['historical', 'fiction', 'fantasy']",54%,63%,88%,39%,12%,5%,12%,10%,18%,3%,6%,4%,0%,9%,66%,13%,19%,4.13,19204,1
Beach Read by Emily Henry,361,"['romance', 'contemporary', 'fiction']",63%,62%,9%,1%,74%,2%,51%,2%,19%,3%,18%,28%,15%,0%,67%,25%,7%,4.1,145109,0
Lessons in Chemistry by Bonnie Garmus,390,"['historical', 'literary', 'fiction']",53%,17%,7%,2%,70%,4%,48%,7%,3%,17%,73%,35%,29%,27%,67%,23%,8%,4.24,75527,0
Before the Coffee Gets Cold by Toshikazu Kawaguchi,213,"['magical realism', 'literary', 'fiction']",5%,20%,7%,18%,82%,2%,52%,1%,17%,4%,32%,68%,39%,0%,52%,26%,20%,3.8,74095,1
The Midnight Library by Matt Haig,288,"['literary', 'contemporary', 'fiction']",7%,6%,28%,10%,71%,5%,62%,17%,3%,14%,56%,78%,27%,3%,51%,38%,9%,3.92,181116,0
Caraval by Stephanie Garber,407,"['young adult', 'fiction', 'fantasy']",8%,8%,94%,85%,37%,38%,13%,31%,1%,20%,6%,4%,7%,0%,56%,39%,4%,3.89,73996,1
Kingdom of Ash by Sarah J. Maas,984,"['fiction', 'fantasy']",17%,2%,96%,17%,89%,62%,47%,56%,0%,37%,36%,10%,45%,0%,60%,25%,14%,4.63,72422,1
The Song of Achilles by Madeline Miller,369,"['fantasy', 'literary', 'fiction', 'historical', 'lgbtqia+', 'romance']",3%,3%,70%,4%,89%,25%,12%,15%,2%,12%,13%,20%,72%,5%,67%,17%,15%,4.38,223103,0
Empire of Storms by Sarah J. Maas,693,"['fiction', 'fantasy']",14%,1%,96%,32%,78%,64%,24%,59%,0%,33%,15%,5%,30%,1%,64%,27%,7%,4.54,85139,1
The Poppy War by R.F. Kuang,544,"['historical', 'fiction', 'fantasy']",3%,0%,74%,17%,52%,68%,1%,93%,0%,42%,3%,12%,40%,5%,63%,22%,14%,4.26,58231,1
The Serpent and the Wings of Night by Carissa Broadbent,504,"['romance', 'fiction', 'fantasy']",13%,1%,88%,38%,58%,65%,7%,74%,0%,27%,4%,3%,16%,0%,61%,34%,4%,4.32,33380,1
Heartless Hunter by Kristen Ciccarelli,406,"['young adult', 'romance', 'fiction', 'fantasy']",4%,1%,84%,61%,57%,59%,8%,51%,0%,18%,3%,3%,18%,0%,57%,40%,2%,4.28,2171,1
Once Upon a Broken Heart by Stephanie Garber,408,"['young adult', 'romance', 'fiction', 'fantasy']",18%,29%,89%,67%,33%,20%,22%,12%,5%,8%,7%,3%,5%,0%,52%,42%,4%,4.04,39978,1
The Love Hypothesis by Ali Hazelwood,352,"['romance', 'contemporary', 'fiction']",79%,87%,4%,0%,40%,3%,28%,0%,22%,1%,12%,4%,2%,4%,44%,51%,4%,4.15,149445,0
Project Hail Mary by Andy Weir,476,"['science fiction', 'fiction']",67%,15%,94%,20%,48%,42%,51%,6%,1%,17%,33%,12%,9%,34%,60%,32%,6%,4.5,61046,0
A Little Life by Hanya Yanagihara,816,"['lgbtqia+', 'contemporary', 'literary', 'fiction']",1%,0%,1%,4%,90%,39%,8%,86%,0%,51%,6%,45%,94%,1%,32%,2%,64%,4.38,76092,0
A Psalm for the Wild-Built by Becky Chambers,147,"['lgbtqia+', 'science fiction', 'fiction']",22%,43%,41%,2%,45%,0%,74%,0%,40%,4%,57%,79%,1%,2%,48%,30%,21%,4.4,31045,1
"Love, Theoretically by Ali Hazelwood",384,"['romance', 'contemporary', 'fiction']",76%,78%,3%,0%,55%,2%,34%,0%,16%,3%,19%,16%,2%,10%,58%,37%,4%,4.17,42351,0
Red Rising by Pierce Brown,382,"['science fiction', 'fiction', 'dystopian']",7%,0%,89%,13%,37%,68%,9%,75%,0%,26%,13%,7%,15%,0%,51%,42%,6%,4.11,44303,1
Never Lie by Freida McFadden,336,"['thriller', 'fiction']",1%,0%,8%,91%,7%,68%,0%,80%,0%,8%,0%,2%,3%,1%,30%,66%,3%,3.93,23341,0
I Who Have Never Known Men by Jacqueline Harpman,188,"['literary', 'science fiction', 'fiction', 'dystopian']",0%,0%,17%,63%,51%,23%,11%,73%,0%,37%,7%,69%,54%,1%,51%,19%,29%,4.3,10880,0
The Assassin's Blade by Sarah J. Maas,448,"['young adult', 'fiction', 'fantasy']",6%,1%,93%,29%,71%,47%,7%,52%,0%,23%,6%,6%,47%,3%,59%,31%,9%,4.13,75877,1
The Priory of the Orange Tree by Samantha Shannon,830,"['lgbtqia+', 'fiction', 'fantasy']",4%,1%,98%,36%,48%,38%,20%,19%,1%,26%,19%,7%,7%,1%,59%,7%,32%,4.29,51665,1
Weyward by Emilia Hart,392,"['magical realism', 'historical', 'literary', 'fiction']",0%,0%,23%,56%,76%,32%,33%,61%,1%,19%,31%,36%,36%,2%,70%,15%,13%,4.09,14684,0
The Inheritance Games by Jennifer Lynn Barnes,376,"['mystery', 'young adult', 'fiction']",17%,12%,83%,92%,16%,30%,4%,10%,2%,22%,3%,5%,2%,1%,33%,63%,3%,4.1,86779,1
Catching Fire by Suzanne Collins,391,"['young adult', 'fiction', 'dystopian']",6%,0%,86%,17%,63%,74%,11%,61%,0%,31%,13%,11%,28%,1%,40%,56%,2%,4.28,220517,1
Queen of Shadows by Sarah J. Maas,648,"['fiction', 'fantasy']",15%,2%,97%,35%,71%,60%,34%,60%,0%,29%,19%,5%,18%,1%,68%,25%,6%,4.52,95440,1
"This Is How You Lose the Time War by Max Gladstone, Amal El-Mohtar",198,"['romance', 'lgbtqia+', 'science fiction', 'fiction']",9%,3%,62%,49%,71%,24%,26%,13%,1%,38%,12%,30%,15%,0%,43%,40%,16%,4.05,64365,0
Crying in H Mart by Michelle Zauner,239,"['food and drink', 'music', 'memoir', 'nonfiction']",11%,1%,1%,0%,94%,4%,21%,11%,1%,16%,23%,77%,79%,7%,71%,13%,15%,4.37,63182,0
Icebreaker by Hannah Grace,432,"['sports', 'romance', 'contemporary', 'fiction']",71%,80%,7%,0%,51%,6%,24%,0%,18%,4%,14%,8%,4%,1%,62%,27%,9%,3.85,65301,1
Wildfire by Hannah Grace,387,"['romance', 'contemporary', 'fiction']",72%,83%,15%,0%,53%,2%,36%,0%,20%,2%,12%,13%,4%,0%,67%,25%,6%,3.93,18631,1
The Woman in Me by Britney Spears,287,"['music', 'memoir', 'nonfiction']",7%,1%,1%,0%,81%,9%,33%,31%,0%,19%,41%,57%,67%,33%,33%,62%,4%,4.01,29680,0
Check & Mate by Ali Hazelwood,352,"['young adult', 'romance', 'contemporary', 'fiction']",66%,77%,7%,0%,53%,5%,35%,0%,15%,5%,29%,14%,4%,11%,55%,40%,4%,4.13,18817,0
Annie Bot by Sierra Greer,240,"['thriller', 'literary', 'science fiction', 'fiction']",4%,0%,16%,7%,52%,47%,17%,52%,0%,35%,8%,63%,30%,3%,53%,39%,7%,4.04,674,0
Ninth House by Leigh Bardugo,458,"['thriller', 'fiction', 'fantasy']",9%,0%,58%,89%,25%,56%,1%,94%,0%,19%,1%,5%,11%,1%,67%,14%,18%,4.07,68876,1
The Fury by Alex Michaelides,298,"['thriller', 'fiction']",4%,1%,16%,89%,17%,59%,0%,69%,0%,11%,0%,10%,8%,0%,45%,35%,19%,3.47,6082,0
Good Material by Dolly Alderton,352,"['romance', 'contemporary', 'fiction']",82%,35%,0%,0%,76%,1%,40%,1%,4%,4%,13%,68%,25%,1%,68%,20%,11%,4.1,4786,0
A Tempest of Tea by Hafsah Faizal,338,"['young adult', 'historical', 'fiction', 'fantasy']",22%,5%,92%,72%,38%,51%,8%,37%,0%,12%,6%,5%,8%,0%,60%,29%,10%,3.94,1677,1
Funny Story by Emily Henry,384,"['romance', 'contemporary', 'fiction']",88%,58%,6%,0%,81%,2%,62%,0%,8%,2%,29%,30%,9%,0%,69%,27%,3%,4.57,632,0
The Fifth Season by N.K. Jemisin,498,"['science fiction', 'fiction', 'fantasy']",3%,0%,78%,58%,51%,49%,3%,78%,0%,42%,4%,17%,27%,1%,71%,12%,16%,4.41,48574,1
Daisy Jones & The Six by Taylor Jenkins Reid,368,"['historical', 'fiction']",23%,13%,27%,3%,82%,20%,22%,21%,5%,13%,29%,55%,32%,3%,57%,35%,6%,4.25,184116,0
Normal People by Sally Rooney,273,"['literary', 'contemporary', 'fiction']",6%,5%,1%,2%,85%,19%,14%,23%,5%,15%,7%,69%,53%,1%,56%,22%,21%,3.83,169554,0
The Nightingale by Kristin Hannah,448,"['historical', 'fiction']",0%,0%,37%,4%,91%,44%,26%,45%,0%,34%,50%,31%,78%,19%,67%,14%,18%,4.54,66786,0
Haunting Adeline by H.D. Carlton,583,"['thriller', 'romance', 'fiction', 'erotica']",6%,0%,17%,61%,37%,74%,2%,99%,0%,30%,0%,2%,15%,1%,61%,28%,9%,3.8,40395,1
The Three-Body Problem by Cixin Liu,399,"['science fiction', 'fiction']",1%,0%,43%,73%,7%,38%,3%,46%,0%,60%,5%,36%,6%,30%,49%,9%,40%,3.95,29731,1
Verity by Colleen Hoover,323,"['mystery', 'contemporary', 'thriller', 'fiction', 'romance']",0%,0%,7%,84%,40%,77%,0%,92%,0%,16%,0%,4%,22%,0%,29%,67%,2%,4.14,173068,0
The Heaven & Earth Grocery Store by James McBride,385,"['historical', 'literary', 'fiction']",18%,2%,12%,22%,77%,24%,39%,29%,0%,33%,27%,48%,42%,10%,56%,6%,36%,4.06,5475,0
From Blood and Ash by Jennifer L. Armentrout,613,"['romance', 'fiction', 'fantasy']",20%,3%,89%,56%,45%,43%,5%,63%,1%,14%,3%,2%,9%,0%,63%,20%,16%,4.1,71086,1
The Dead Romantics by Ashley Poston,344,"['romance', 'contemporary', 'fiction', 'fantasy']",64%,48%,7%,17%,82%,1%,63%,7%,7%,3%,18%,31%,31%,0%,68%,23%,8%,4.04,25314,0
Dune Messiah by Frank Herbert,336,"['classics', 'science fiction', 'fiction']",0%,0%,56%,51%,28%,42%,1%,50%,0%,46%,3%,45%,23%,2%,46%,10%,43%,3.75,19694,1
Swift and Saddled by Lyla Sage,320,"['romance', 'contemporary', 'fiction']",60%,83%,14%,0%,61%,1%,51%,0%,17%,2%,19%,14%,2%,1%,52%,43%,3%,4.21,1948,1
Legends & Lattes by Travis Baldree,305,"['lgbtqia+', 'fiction', 'fantasy']",37%,90%,34%,4%,22%,1%,62%,0%,58%,0%,25%,7%,0%,0%,54%,28%,16%,4.2,48576,1
Tower of Dawn by Sarah J. Maas,664,"['fiction', 'fantasy']",9%,2%,90%,40%,72%,48%,38%,46%,1%,29%,20%,12%,18%,4%,66%,7%,26%,4.21,70723,1
Mockingjay by Suzanne Collins,390,"['young adult', 'fiction', 'dystopian']",2%,0%,73%,9%,75%,67%,19%,76%,0%,37%,14%,20%,55%,1%,56%,35%,8%,3.96,204867,1
People We Meet on Vacation by Emily Henry,361,"['romance', 'contemporary', 'fiction']",71%,79%,29%,0%,56%,2%,37%,0%,22%,1%,11%,16%,4%,0%,63%,23%,12%,3.98,130385,0
The House in the Cerulean Sea by TJ Klune,398,"['lgbtqia+', 'fiction', 'fantasy']",61%,61%,54%,10%,67%,1%,79%,1%,19%,4%,57%,26%,5%,1%,71%,19%,8%,4.48,118830,1
The Only One Left by Riley Sager,383,"['thriller', 'fiction']",0%,0%,15%,95%,28%,69%,3%,78%,0%,11%,0%,6%,21%,0%,57%,35%,6%,4.06,20983,0
The Perfectionist's Guide to Losing Control: A Path to Peace and Power by Katherine Morgan Schafler,320,"['psychology', 'self help', 'nonfiction']",7%,2%,0%,0%,25%,0%,48%,0%,1%,27%,59%,63%,1%,90%,69%,12%,18%,4.23,401,0
Happily Never After by Lynn Painter,304,"['romance', 'contemporary', 'fiction']",89%,91%,5%,0%,26%,0%,31%,0%,11%,0%,5%,4%,0%,0%,44%,54%,1%,4.0,687,0
All the Light We Cannot See by Anthony Doerr,531,"['historical', 'literary', 'fiction']",0%,0%,24%,10%,84%,35%,28%,37%,0%,26%,28%,47%,68%,13%,55%,7%,36%,4.26,89528,0
Fangirl Down by Tessa Bailey,369,"['romance', 'contemporary', 'fiction']",85%,85%,9%,0%,44%,1%,36%,0%,13%,2%,19%,5%,1%,2%,52%,45%,1%,4.13,2824,1
The Fake Mate by Lana Ferguson,386,"['romance', 'fiction', 'fantasy']",81%,86%,9%,1%,27%,2%,19%,0%,10%,0%,1%,1%,0%,1%,53%,43%,2%,3.78,4844,0
Anita de Monte Laughs Last by Xochitl Gonzalez,341,"['mystery', 'literary', 'fiction']",27%,0%,15%,37%,76%,32%,27%,38%,0%,30%,38%,51%,24%,17%,70%,20%,9%,4.28,413,0
Tress of the Emerald Sea by Brandon Sanderson,369,"['fiction', 'fantasy']",74%,68%,98%,17%,20%,5%,46%,0%,10%,4%,36%,9%,0%,0%,63%,30%,5%,4.45,18204,1
Harry Potter and the Prisoner of Azkaban by J.K. Rowling,435,"['fiction', 'fantasy', 'middle grade']",35%,26%,97%,62%,40%,25%,22%,25%,9%,10%,14%,4%,9%,1%,59%,37%,2%,4.6,248348,1
The Very Secret Society of Irregular Witches by Sangu Mandanna,318,"['romance', 'contemporary', 'fiction', 'fantasy']",62%,85%,25%,12%,47%,0%,65%,0%,28%,1%,25%,10%,2%,0%,65%,28%,6%,4.22,31894,1
The Prisoner's Throne  by Holly Black,356,"['young adult', 'fiction', 'fantasy']",24%,7%,93%,41%,51%,50%,16%,32%,1%,16%,5%,5%,8%,0%,63%,29%,7%,4.12,1380,1
Bright Young Women by Jessica Knoll,376,"['mystery', 'thriller', 'fiction', 'historical', 'lgbtqia+']",0%,0%,4%,31%,65%,54%,10%,87%,0%,39%,12%,33%,50%,18%,69%,16%,13%,4.15,8026,0
The Night Circus by Erin Morgenstern,512,"['historical', 'romance', 'fiction', 'fantasy']",2%,8%,65%,90%,40%,13%,17%,24%,8%,12%,18%,19%,9%,0%,42%,5%,51%,4.06,112321,0
The Ballad of Songbirds and Snakes by Suzanne Collins,517,"['young adult', 'fiction', 'dystopian']",2%,0%,63%,22%,37%,66%,3%,78%,0%,26%,1%,23%,24%,3%,65%,18%,16%,3.83,96015,1
All Systems Red by Martha Wells,152,"['science fiction', 'fiction']",71%,24%,88%,28%,11%,24%,10%,11%,2%,3%,3%,11%,1%,1%,17%,81%,1%,4.13,44747,1
Assistant to the Villain by Hannah Nicole Maehrer,340,"['romance', 'fiction', 'fantasy']",85%,59%,77%,40%,23%,13%,12%,21%,6%,5%,4%,1%,4%,0%,59%,30%,9%,3.92,15083,1
Welcome to the Hyunam-dong Bookshop by Hwang Bo-reum,308,"['literary', 'fiction']",9%,49%,1%,0%,43%,0%,75%,0%,58%,2%,67%,82%,4%,5%,48%,6%,44%,4.16,1558,0
Book Lovers by Emily Henry,377,"['romance', 'contemporary', 'fiction']",74%,73%,9%,0%,66%,1%,47%,0%,20%,2%,18%,19%,7%,0%,65%,28%,6%,4.25,126277,0
Demon Copperhead by Barbara Kingsolver,548,"['literary', 'contemporary', 'fiction']",24%,0%,22%,0%,84%,24%,35%,69%,0%,52%,21%,51%,73%,17%,66%,8%,25%,4.52,19378,0
A Study in Drowning by Ava Reid,376,"['young adult', 'fiction', 'fantasy']",1%,0%,42%,85%,56%,46%,16%,80%,0%,18%,13%,24%,20%,1%,70%,11%,18%,4.0,10756,0
If We Were Villains by M.L. Rio,358,"['thriller', 'literary', 'fiction']",4%,0%,12%,84%,68%,62%,2%,91%,0%,21%,3%,23%,42%,1%,69%,15%,14%,4.25,63042,0
A Gentleman in Moscow by Amor Towles,462,"['historical', 'literary', 'fiction']",41%,29%,23%,12%,51%,5%,55%,2%,18%,8%,37%,68%,10%,20%,46%,3%,49%,4.28,32406,0
My Year of Rest and Relaxation by Ottessa Moshfegh,289,"['literary', 'contemporary', 'fiction']",35%,1%,1%,7%,34%,16%,3%,86%,3%,19%,1%,61%,39%,0%,41%,12%,45%,3.69,68507,0
Tom Lake by Ann Patchett,309,"['historical', 'literary', 'fiction', 'romance']",16%,23%,4%,3%,71%,0%,36%,1%,26%,2%,15%,86%,15%,1%,60%,5%,33%,4.16,11417,0
The Catcher in the Rye by J.D. Salinger,277,"['classics', 'literary', 'fiction']",31%,7%,20%,4%,50%,11%,6%,31%,3%,15%,6%,73%,38%,1%,41%,19%,39%,3.56,149962,0
The Wicked King by Holly Black,336,"['young adult', 'fiction', 'fantasy']",11%,3%,91%,46%,33%,61%,5%,54%,1%,23%,4%,3%,6%,0%,60%,33%,5%,4.25,105058,1
Poor Things by Alasdair Gray,317,"['historical', 'fiction', 'fantasy']",66%,10%,51%,47%,18%,8%,8%,54%,0%,31%,10%,39%,9%,11%,65%,19%,15%,4.06,2629,0
Bunny by Mona Awad,305,"['literary', 'contemporary', 'fiction', 'horror']",27%,0%,9%,75%,18%,52%,0%,95%,0%,27%,0%,13%,10%,0%,62%,25%,12%,3.69,49702,0
Six of Crows by Leigh Bardugo,480,"['young adult', 'fiction', 'fantasy']",40%,4%,98%,49%,43%,56%,8%,58%,1%,18%,7%,3%,9%,0%,53%,41%,4%,4.53,165774,1
Tender Is the Flesh by Agustina Bazterrica,211,"['horror', 'literary', 'fiction', 'dystopian']",0%,0%,1%,10%,23%,59%,0%,98%,0%,41%,0%,24%,36%,1%,50%,38%,11%,3.8,38380,0
Where the Crawdads Sing by Delia Owens,370,"['mystery', 'literary', 'fiction', 'historical', 'crime']",2%,2%,40%,70%,76%,24%,22%,23%,5%,14%,26%,42%,42%,10%,59%,10%,29%,4.21,170721,0
Lightlark by Alex Aster,409,"['young adult', 'romance', 'fiction', 'fantasy']",7%,6%,92%,67%,36%,43%,11%,28%,1%,20%,5%,3%,7%,0%,62%,27%,10%,3.56,9155,1
The Wishing Game by Meg Shaffer,278,"['contemporary', 'fiction', 'fantasy']",19%,39%,64%,32%,73%,2%,79%,2%,6%,5%,45%,21%,11%,0%,59%,36%,4%,4.17,10554,0
The Familiar by Leigh Bardugo,400,"['historical', 'fiction', 'fantasy']",0%,0%,54%,69%,56%,43%,21%,71%,0%,22%,7%,24%,19%,1%,74%,8%,16%,4.42,116,0
